run	step	train_loss	epoch	val_accuracy	val_loss	lang	arch	model_version
3	4832	0.0083829890936613	26.0	0.25390625	2.0371346473693848	deu	pointer_generator_lstm	0
3	3821	0.0212487298995256	25.0	0.2335937470197677	0.9637829065322876	swe	pointer_generator_lstm	0
3	7197	0.0036838788073509	58.0	0.1957031190395355	2.055920124053955	isl	pointer_generator_lstm	0
3	4931	0.0350368358194828	11.0	0.3414062559604645	2.2887630462646484	rus	pointer_generator_lstm	0
3	3839	0.7383921146392822	255.0	0.2074999958276748	1.7714848518371582	deu	transformer	0
3	9215	0.7233681678771973	767.0	0.2416666597127914	1.5834922790527344	swe	transformer	0
3	7999	0.7208787202835083	799.0	0.1541666686534881	2.097440004348755	isl	transformer	0
3	24287	0.7224337458610535	735.0	0.3258333206176758	1.8325536251068115	rus	transformer	1
3	8007	0.0068367542698979	27.0	0.209999993443489	1.905242919921875	deu	bilstm-attn	0
3	11327	0.0233182068914175	47.0	0.2060000002384185	1.2914432287216189	swe	bilstm-attn	0
3	4267	0.024260776117444	21.0	0.1669999957084655	1.8138954639434812	isl	bilstm-attn	0
3	39479	0.0046445508487522	59.0	0.2949999868869781	2.563696384429932	rus	bilstm-attn	0
3				0.267		deu	M_C	
3				0.347		swe	M_C	
3				0.205		isl	M_C	
3				0.378		rus	M_C	
5	4832	0.0027063840534538	26.0	0.3380859494209289	1.7959413528442385	deu	pointer_generator_lstm	0
5	6761	0.0144388433545827	45.0	0.26953125	1.0851558446884155	swe	pointer_generator_lstm	0
5	6221	0.0034901860635727	50.0	0.2027343809604644	1.9597609043121336	isl	pointer_generator_lstm	0
5	4931	0.0163647681474685	11.0	0.3330078125	2.369922161102295	rus	pointer_generator_lstm	0
5	5759	0.73100346326828	383.0	0.2041666656732559	1.8062480688095093	deu	transformer	0
5	9599	0.7231219410896301	799.0	0.2516666650772095	1.587893843650818	swe	transformer	0
5	7199	0.7221097350120544	719.0	0.1591666638851165	2.120557308197021	isl	transformer	0
5	17423	0.7232930064201355	527.0	0.3224999904632568	1.8809318542480469	rus	transformer	1
5	5147	0.0184704512357711	17.0	0.2199999988079071	1.5510324239730835	deu	bilstm-attn	0
5	12743	0.0206340886652469	53.0	0.2269999980926513	1.49448561668396	swe	bilstm-attn	0
5	8535	0.0085087604820728	43.0	0.1620000004768371	1.9926856756210327	isl	bilstm-attn	0
5	32899	0.0058615221641957	49.0	0.3030000030994415	2.5510125160217285	rus	bilstm-attn	0
5				0.295		deu	M_C	
5				0.317		swe	M_C	
5				0.215		isl	M_C	
5				0.393		rus	M_C	
2	6622	0.0019394916016608	36.0	0.3322265744209289	1.962101697921753	deu	pointer_generator_lstm	0
2	7349	0.0136742740869522	49.0	0.257617175579071	1.119251370429993	swe	pointer_generator_lstm	0
2	1951	0.0095226075500249	15.0	0.1822265684604644	1.599756956100464	isl	pointer_generator_lstm	0
2	4109	0.0147156072780489	9.0	0.324999988079071	2.27787184715271	rus	pointer_generator_lstm	0
2	7199	0.7288443446159363	479.0	0.2150000035762787	1.8054240942001345	deu	transformer	0
2	7295	0.7252355217933655	607.0	0.2491666674613952	1.582676887512207	swe	transformer	0
2	7679	0.7221724987030029	767.0	0.1483333259820938	2.125263214111328	isl	transformer	0
2	19535	0.723595142364502	591.0	0.3258333206176758	1.870271921157837	rus	transformer	1
2	9151	0.0075921472162008	31.0	0.2280000001192093	1.778365969657898	deu	bilstm-attn	0
2	13215	0.0171763952821493	55.0	0.2259999960660934	1.4738893508911133	swe	bilstm-attn	0
2	3103	0.0344705805182457	15.0	0.1599999964237213	1.7673349380493164	isl	bilstm-attn	0
2	6579	0.0311220102012157	9.0	0.3009999990463257	1.7521519660949707	rus	bilstm-attn	0
2				0.288		deu	M_C	
2				0.345		swe	M_C	
2				0.21		isl	M_C	
2				0.387		rus	M_C	
