run	step	train_loss	epoch	val_accuracy	val_loss	lang	arch	model_version
3	3359	0.7314855456352234	223.0	0.2599999904632568	1.712999701499939	deu	transformer	0
3	8639	0.7214145064353943	719.0	0.2583333253860473	1.5797853469848633	swe	transformer	0
3	7039	0.7227644324302673	703.0	0.1624999940395355	2.036437511444092	isl	transformer	0
3	11087	0.72439044713974	335.0	0.3316666781902313	1.843307852745056	rus	transformer	0
3	9151	0.0037613329477608	31.0	0.1969999969005584	2.0368123054504395	deu	bilstm-attn	0
3	11799	0.0158709976822137	49.0	0.2610000073909759	1.532298922538757	swe	bilstm-attn	0
3	6207	0.0113156018778681	31.0	0.1770000010728836	1.9861547946929927	isl	bilstm-attn	0
3	21055	0.0072838747873902	31.0	0.3100000023841858	2.3399200439453125	rus	bilstm-attn	0
3	2863	0.0050572049804031	15.0	0.2994140684604645	1.5474350452423096	deu	pointer_generator_lstm-attn	0
3	3527	0.0201590880751609	23.0	0.2609375119209289	0.9216840267181396	swe	pointer_generator_lstm-attn	0
3	4391	0.0049391635693609	35.0	0.2013671845197677	1.613520860671997	isl	pointer_generator_lstm-attn	0
3	11096	0.0043242224492132	26.0	0.3314453065395355	2.583794593811035	rus	pointer_generator_lstm-attn	0
5	1679	0.7315337657928467	111.0	0.2541666626930237	1.6828813552856443	deu	transformer	0
5	6527	0.7238516807556152	543.0	0.2741666734218597	1.4836935997009275	swe	transformer	0
5	7519	0.7207076549530029	751.0	0.1641666740179062	2.1314523220062256	isl	transformer	0
5	11615	0.7245544791221619	351.0	0.3333333432674408	1.8292646408081052	rus	transformer	0
5	11439	0.0059196813963353	39.0	0.209999993443489	1.9472028017044067	deu	bilstm-attn	0
5	7079	0.0309248846024274	29.0	0.2349999994039535	1.1476060152053833	swe	bilstm-attn	0
5	10863	0.0053896522149443	55.0	0.1700000017881393	2.008091688156128	isl	bilstm-attn	0
5	7895	0.0196049027144908	11.0	0.3059999942779541	2.037970304489136	rus	bilstm-attn	0
5	8770	0.0012816857779398	48.0	0.2953124940395355	1.7572814226150513	deu	pointer_generator_lstm-attn	0
5	6908	0.0149921998381614	46.0	0.2630859315395355	1.055438756942749	swe	pointer_generator_lstm-attn	0
5	2805	0.0092793852090835	22.0	0.1886718720197677	1.5719752311706543	isl	pointer_generator_lstm-attn	0
5	14384	0.0039675692096352	34.0	0.3349609375	2.641589879989624	rus	pointer_generator_lstm-attn	0
2	3119	0.7322428822517395	207.0	0.2783333361148834	1.7318964004516602	deu	transformer	0
2	9023	0.7217990756034851	751.0	0.2683333456516266	1.5326743125915527	swe	transformer	0
2	7359	0.7223712801933289	735.0	0.1733333319425583	2.026432037353516	isl	transformer	0
2	22175	0.7222943305969238	671.0	0.3366666734218597	1.819493651390076	rus	transformer	0
2	14299	0.0043835504911839	49.0	0.2399999946355819	1.9688905477523804	deu	bilstm-attn	0
2	13215	0.0155915487557649	55.0	0.270000010728836	1.4176440238952637	swe	bilstm-attn	0
2	10475	0.0083529064431786	53.0	0.1829999983310699	2.046529769897461	isl	bilstm-attn	0
2	17107	0.0098278690129518	25.0	0.296999990940094	2.2492029666900635	rus	bilstm-attn	0
2	8233	0.0016908280085772	45.0	0.25	1.9706801176071167	deu	pointer_generator_lstm-attn	1
2	4409	0.0162576884031295	29.0	0.2720703184604645	0.9913539886474608	swe	pointer_generator_lstm-attn	1
2	2073	0.0105632860213518	16.0	0.2085937559604644	1.4305230379104614	isl	pointer_generator_lstm-attn	1
2	5342	0.0081826271489262	12.0	0.3310546875	2.105452299118042	rus	pointer_generator_lstm-attn	1
4	1199	0.734935998916626	79.0	0.2508333325386047	1.6725623607635498	deu	transformer	0
4	9407	0.7208037376403809	783.0	0.246666669845581	1.5675146579742432	swe	transformer	0
4	4479	0.7285324335098267	447.0	0.1633333265781402	1.9959688186645508	isl	transformer	0
4	26399	0.7215525507926941	799.0	0.335833340883255	1.829451322555542	rus	transformer	0
4	15443	0.0020262389443814	53.0	0.210999995470047	2.305859327316284	deu	bilstm-attn	0
4	11799	0.0190342292189598	49.0	0.2469999939203262	1.4263577461242676	swe	bilstm-attn	0
4	5819	0.01046659424901	29.0	0.1749999970197677	1.9800546169281008	isl	bilstm-attn	0
4	38163	0.0046190093271434	57.0	0.3050000071525574	2.469823122024536	rus	bilstm-attn	0
4	3937	0.0029742738697677	21.0	0.2562499940395355	1.7350016832351685	deu	pointer_generator_lstm-attn	0
4	3674	0.0178724415600299	24.0	0.2755859494209289	0.9117441177368164	swe	pointer_generator_lstm-attn	0
4	2805	0.005819518584758	22.0	0.2007812559604644	1.4674530029296875	isl	pointer_generator_lstm-attn	0
4	2054	0.0233478415757417	4.0	0.3275390565395355	1.8443673849105835	rus	pointer_generator_lstm-attn	0
1	3119	0.730746865272522	207.0	0.2150000035762787	1.7761821746826172	deu	transformer	0
1	3263	0.7344488501548767	271.0	0.2616666555404663	1.496772050857544	swe	transformer	0
1	2879	0.727505624294281	287.0	0.1749999970197677	1.9908422231674197	isl	transformer	0
1	13727	0.7241829633712769	415.0	0.3391666710376739	1.83387553691864	rus	transformer	0
1	6863	0.0080012464895844	23.0	0.2380000054836273	1.8749393224716189	deu	bilstm-attn	0
1	4719	0.0427467785775661	19.0	0.2560000121593475	0.9874471426010132	swe	bilstm-attn	0
1	11639	0.0052259196527302	59.0	0.1790000051259994	2.1395320892333984	isl	bilstm-attn	0
1	10527	0.0170838572084903	15.0	0.3050000071525574	2.0314202308654785	rus	bilstm-attn	0
1	6264	0.0014698550803586	34.0	0.3126953244209289	1.6094849109649658	deu	pointer_generator_lstm-attn	3
1	4262	0.0189371351152658	28.0	0.286914050579071	0.8221579194068909	swe	pointer_generator_lstm-attn	1
1	3049	0.0052838195115327	24.0	0.2119140625	1.5094817876815796	isl	pointer_generator_lstm-attn	1
1	2876	0.0260183084756135	6.0	0.33984375	1.8366841077804563	rus	pointer_generator_lstm-attn	1
